URL,Current Title,Optimized Title,Current Description,Optimized Description
"/about/authors","MISSING","MISSING","MISSING","MISSING"
"/about","MISSING","MISSING","MISSING","MISSING"
"/accommodation/article","MISSING","MISSING","MISSING","MISSING"
"/accommodation","MISSING","MISSING","MISSING","MISSING"
"/budget-guides/article","MISSING","MISSING","MISSING","MISSING"
"/budget-guides","MISSING","MISSING","MISSING","MISSING"
"/cities/atlanta","MISSING","MISSING","MISSING","MISSING"
"/cities/boston","MISSING","MISSING","MISSING","MISSING"
"/cities/components/AtlantaCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/BostonCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/CityCard","MISSING","MISSING","MISSING","MISSING"
"/cities/components/CityGuideModal","MISSING","MISSING","MISSING","MISSING"
"/cities/components/GuadalajaraCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/KansasCityCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/MexicoCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/MonterreyCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/PhiladelphiaCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/SanFranciscoCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/SeattleCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/TorontoCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/components/VancouverCityGuide","MISSING","MISSING","MISSING","MISSING"
"/cities/dallas","MISSING","MISSING","MISSING","MISSING"
"/cities/guadalajara","MISSING","MISSING","MISSING","MISSING"
"/cities/houston","MISSING","MISSING","MISSING","MISSING"
"/cities/kansas-city","MISSING","MISSING","MISSING","MISSING"
"/cities/los-angeles","MISSING","MISSING","MISSING","MISSING"
"/cities/mexico-city","MISSING","MISSING","MISSING","MISSING"
"/cities/miami","MISSING","MISSING","MISSING","MISSING"
"/cities/monterrey","MISSING","MISSING","MISSING","MISSING"
"/cities/new-york-new-jersey","MISSING","MISSING","MISSING","MISSING"
"/cities","MISSING","MISSING","MISSING","MISSING"
"/cities/philadelphia","MISSING","MISSING","MISSING","MISSING"
"/cities/san-francisco","MISSING","MISSING","MISSING","MISSING"
"/cities/seattle","MISSING","MISSING","MISSING","MISSING"
"/cities/toronto","MISSING","MISSING","MISSING","MISSING"
"/cities/vancouver","MISSING","MISSING","MISSING","MISSING"
"/cities/[cityId]","MISSING","MISSING","MISSING","MISSING"
"/city-comparisons/article","MISSING","MISSING","MISSING","MISSING"
"/city-comparisons","MISSING","MISSING","MISSING","MISSING"
"/contact","MISSING","MISSING","MISSING","MISSING"
"/deal-alerts","MISSING","MISSING","MISSING","MISSING"
"/deals","MISSING","MISSING","MISSING","MISSING"
"/draw-hub","MISSING","MISSING","MISSING","MISSING"
"/groups/group-a","MISSING","World Cup 2026 Group A | Standings, Schedule & Travel Guide","MISSING","Follow Group A in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-b","MISSING","World Cup 2026 Group B | Standings, Schedule & Travel Guide","MISSING","Follow Group B in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-c","MISSING","World Cup 2026 Group C | Standings, Schedule & Travel Guide","MISSING","Follow Group C in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-d","MISSING","World Cup 2026 Group D | Standings, Schedule & Travel Guide","MISSING","Follow Group D in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-e","MISSING","World Cup 2026 Group E | Standings, Schedule & Travel Guide","MISSING","Follow Group E in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-f","MISSING","World Cup 2026 Group F | Standings, Schedule & Travel Guide","MISSING","Follow Group F in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-g","MISSING","World Cup 2026 Group G | Standings, Schedule & Travel Guide","MISSING","Follow Group G in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-h","MISSING","World Cup 2026 Group H | Standings, Schedule & Travel Guide","MISSING","Follow Group H in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-i","MISSING","World Cup 2026 Group I | Standings, Schedule & Travel Guide","MISSING","Follow Group I in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-j","MISSING","World Cup 2026 Group J | Standings, Schedule & Travel Guide","MISSING","Follow Group J in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-k","MISSING","World Cup 2026 Group K | Standings, Schedule & Travel Guide","MISSING","Follow Group K in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups/group-l","MISSING","World Cup 2026 Group L | Standings, Schedule & Travel Guide","MISSING","Follow Group L in World Cup 2026. Match schedule, venue information, team analysis, and travel logistics for all group stage games."
"/groups","MISSING","MISSING","MISSING","MISSING"
"/guides/article/AccommodationSafetyChecklistContent","MISSING","MISSING","MISSING","MISSING"
"/guides/article/AccommodationSafetyChecklistContentPart2","MISSING","MISSING","MISSING","MISSING"
"/guides/article/LocalScamsSpotAndAvoidContent","MISSING","MISSING","MISSING","MISSING"
"/guides/article","MISSING","MISSING","MISSING","MISSING"
"/guides/digital-security-privacy-protection","MISSING","MISSING","MISSING","MISSING"
"/guides/emergency-planning","MISSING","MISSING","MISSING","MISSING"
"/guides","MISSING","MISSING","MISSING","MISSING"
"/","Ultimate World Cup 2026 Travel Guide","World Cup 2026 Travel Guide | Host Cities, Stadiums & Tickets","Explore every World Cup 2026 stadium and host city across the USA, Canada, and Mexico. Get expert travel tips, venue guides, safety information, match-day planning, and insider strategies from MetLife Stadium’s Final to the historic atmosphere of Estadio Azteca.","The ultimate guide to FIFA World Cup 2026. Explore all 16 host cities, stadium guides, match schedules, travel tips, and safety advice for USA, Canada, and Mexico."
"/legal/affiliate-disclaimer","MISSING","MISSING","MISSING","MISSING"
"/legal/editorial-policy","MISSING","MISSING","MISSING","MISSING"
"/legal/privacy","MISSING","MISSING","MISSING","MISSING"
"/legal/terms","MISSING","MISSING","MISSING","MISSING"
"/luxury-travel/article","MISSING","MISSING","MISSING","MISSING"
"/luxury-travel","MISSING","MISSING","MISSING","MISSING"
"/NotFound","MISSING","MISSING","MISSING","MISSING"
"/packing-lists","MISSING","MISSING","MISSING","MISSING"
"/PredictPage","World Cup 2026 Predictor: The #1 Bracket Challenge Simulator","World Cup 2026 Predictor: The #1 Bracket Challenge Simulator","Predict the 2026 World Cup winner with our advanced simulator. Forecast every match from the 48-team group stage to the Final. Free to play, official prizes, and instant sharing.","Predict the 2026 World Cup winner with our advanced simulator. Forecast every match from the 48-team group stage to the Final. Free to play, official prizes, and instant sharing."
"/safety-guide/article","MISSING","MISSING","MISSING","MISSING"
"/safety-guide/article/transportation-safety-guidelines","MISSING","MISSING","MISSING","MISSING"
"/safety-guide","MISSING","MISSING","MISSING","MISSING"
"/transportation/article","MISSING","MISSING","MISSING","MISSING"
"/transportation","MISSING","MISSING","MISSING","MISSING"
"/travel-guides/article","MISSING","MISSING","MISSING","MISSING"
"/travel-guides","MISSING","MISSING","MISSING","MISSING"
"/travel-routes/article","MISSING","MISSING","MISSING","MISSING"
"/travel-routes","MISSING","MISSING","MISSING","MISSING"
"/travel-tips/article","MISSING","MISSING","MISSING","MISSING"
"/travel-tips","MISSING","MISSING","MISSING","MISSING"
"/world-cup-2026-stadiums","MISSING","MISSING","MISSING","MISSING"
"/world-cup-2026-stadiums/[stadiumId]","MISSING","[StadiumId] Guide - World Cup 2026 | Seating, Hotels & Parking","MISSING","Complete guide to [StadiumId] for World Cup 2026. Find best seats, nearby hotels, transportation, parking tips, and stadium safety information."
